Date,Item, Category , Cash Jaz , Credit Jaz , Debit BBVA Jaz , Debit HSBC Jaz , Groceries Jaz , Cash Ivan , Credit Ivan Hey , Credit Ivan BBVA , Debit Ivan , Groceries Ivan 
29/Dec/2021,Walmart, Vacation ,,,,,,,,,, $ 693.00 
29/Dec/2021,Casetas, Vacation ,,,,,,, $ 297.00 ,,,
29/Dec/2021,Retiro, Vacation ,,,,,,,,," $ 1,100.00 ",
29/Dec/2021,Oxxo, Vacation ,,,,,,, $ 476.50 ,,,
1/Jan/2022,Casetas, Vacation ,,,,,,, $ 227.00 ,,,
1/Jan/2022,Renta Enero, Rent ,,,,,,,,,,
2/Jan/2022,Casa de Toño, Eat Out ,,, $ 834.00 ,,,,,,,
2/Jan/2022,Walmart, Food Med ,,,,," $ 1,089.99 ",,,,,
3/Jan/2022,Semana Reyna, Food Med ,,,,,,,,," $ 1,500.00 ",
4/Jan/2022,Amazon, Food Med ,,,,,,," $ 2,425.00 ",,,
7/Jan/2022,Rosca, Eat Out ,,, $ 530.00 ,,,,,,,
7/Jan/2022,Elotes, Eat Out ,,,,,, $ 100.00 ,,,,
7/Jan/2022,Gasolina, Car ,,,,,,, $ 479.80 ,,,
8/Jan/2022,Servicio 40km, Car ,,,,,,," $ 4,856.00 ",,,
9/Jan/2022,Despensa, Food Med ,,,,,,, $ 600.10 ,,,
9/Jan/2022,Tacos, Eat Out ,,,,,,, $ 672.10 ,,,
9/Jan/2022,Postres, Eat Out ,,,,,, $ 165.00 ,,,,
10/Jan/2022,Semana Reyna, Food Med ,,," $ 1,500.00 ",,,,,,,
13/Jan/2022,Amazon Prime, Services ,,,,,,, $ 99.00 ,,,
13/Jan/2022,Juego Switch, Ivan ,,,,,,,, $ 779.00 ,,
14/Jan/2022,Amazon Ian, Baby ,, $ 599.14 ,,,,,,,,
15/Jan/2022,Dentista, Jaz ,,," $ 12,000.00 ",,,,,,,
15/Jan/2022,Ibuprofeno, Food Med ,,, $ 135.50 ,,,,,,,
15/Jan/2022,Carnitas , Eat Out ,,, $ 72.50 ,,,,,,,
15/Jan/2022,Helado, Eat Out ,,, $ 70.00 ,,,,,,,
15/Jan/2022,Esquites, Eat Out ,,, $ 75.00 ,,,,,,,
15/Jan/2022,Tamales, Eat Out ,,, $ 78.00 ,,,,,,,
15/Jan/2022,Pan, Eat Out ,,, $ 56.50 ,,,,,,,
17/Jan/2022,Semana Reyna, Food Med ,,,,,,,,," $ 1,500.00 ",
18/Jan/2022,Placas, Car ,,,,,,,,," $ 4,600.00 ",
18/Jan/2022,Verificación, Car ,,,,,,,,," $ 1,600.00 ",
18/Jan/2022,Gasolina, Car ,,,,,,,,, $ 500.00 ,
18/Jan/2022,Casetas Verif, Car ,,,,,,, $ 177.40 ,,,
19/Jan/2022,Copa, Jaz ,,, $ 920.00 ,,,,,,,
20/Jan/2022,Medicamentos, Food Med ,,, $ 375.00 ,,,,,,,
21/Jan/2022,Oftalmologo, Baby ,,," $ 1,500.00 ",,,,,,,
21/Jan/2022,Estacionamiento, Car ,,,,,, $ 60.00 ,,,,
22/Jan/2022,Estacionamiento, Car ,,,,,, $ 25.00 ,,,,
22/Jan/2022,Despensa, Food Med ,,,,, $ 533.24 ,,,,,
23/Jan/2022,Hamburguesas, Eat Out ,,,,,, $ 620.00 ,,,,
